page,current wording,current visual treatment,disposition,replacement wording,reason,capability-specific disclosure required,Trust Center migration required,evidence/source-of-truth reference
"/solutions (SolutionsPage)","The assessed vNext release remains NO-GO for external deployment above LOCAL.","Inline sentence within solution copy","REMOVE","Explore FEUS.ai / Request a demo / Capability status","Solution overview is a positioning surface. Scope detail is available via the status link.","No","Yes","RELEASE_ASSESSMENT on /status"
"/copilot (CopilotLandingPage)","Release-gate paragraph plus platform status banner","Rose banner and negative paragraph","REMOVE","Banner removed; paragraph replaced with governed-experience positioning. Hero padding pt-32.","Sales-oriented landing page. Capability constraints for Copilot remain disclosed on the Trust Center capability matrix.","Yes","Yes","AGENT_PORTFOLIO['copilot'].restriction; PUBLIC_CAPABILITIES"
"/demo (DemoPage)","Platform status banner above demo content","Rose banner","REMOVE","Banner removed; hero padding pt-32. DEMO_DISCLAIMER retained verbatim in place.","The demo disclaimer is the accurate, specific, and legally meaningful disclosure for this page. The generalized banner added noise, not information.","No","No","DEMO_DISCLAIMER (retained unchanged)"
"/about (AboutPage)","current status and limitations","Link text","REWRITE","current status and environment scope","Neutral, accurate phrasing for the same destination.","No","No","/status"
"/sqlops (SqlOpsPage)","What does not exist yet","Rose-bordered panel, rose heading","REWRITE","Current boundaries — neutral slate border (border-slate-500/60)","SQLOps is in controlled enterprise adoption. Its remaining boundaries are normal lifecycle facts, not errors. Content retained; only scope wording and colour changed.","Yes","No","CAPABILITY_LIFECYCLE 'SQL Server governed operational workflows'"
"/sqlops (SqlOpsPage)","LOCAL-only bullet and /feus-ai cross-link","Rose bullet","REWRITE","Reworded to capability-scoped environment language; cross-link retargeted to /status","The LOCAL restriction applies to the vNext dispatch path, not to the SQLOps capability as a whole.","Yes","No","AGENT_PORTFOLIO['sqlops'].restriction"
"/control-plane (ControlPlanePage)","Boundaries and gaps","Rose-bordered panel","REWRITE","Preview boundaries — neutral slate border","Control Plane is CONTROLLED_PREVIEW. 'Gaps' framed a preview state as a deficiency.","Yes","No","AGENT_PORTFOLIO['control-plane']"
"/requestops (RequestOpsPage)","What does not exist yet","Rose-bordered panel","REWRITE","Preview boundaries — neutral slate border","Same rationale as Control Plane. Restriction text retained verbatim.","Yes","No","AGENT_PORTFOLIO['requestops']"
"/release-notes (ReleaseNotesPage)","Release history entries","Rose left border (border-l-rose-500)","KEEP (retreat colour only)","Content unchanged; border changed to border-l-feus-500/70","Internal engineering release history is legitimate layer 4 content and stays. Error colour was inappropriate for a historical log.","No","No","POSTURE_HISTORY; RELEASE_ASSESSMENT"
"/trust (TrustPage)","Trust banner derived from POSTURE.trustBanner","Section intro","REWRITE","POSTURE.publicPostureStatement as intro, A–I section framing, closing with RELEASE_ASSESSMENT.disclosureBoundary","Trust Center now opens with confident posture and then descends into full technical detail, rather than opening with a verdict.","No","No","POSTURE.publicPostureStatement; RELEASE_ASSESSMENT.disclosureBoundary"
"/trust/security (TrustSecurityPage)","did not meet release threshold","Rose emphasis","KEEP (retreat colour only)","Content unchanged; rose changed to neutral slate","An accurate security-assurance finding that must remain. Error colour was reserved for incidents.","No","No","CONTROL_COUNTS; RELEASE_ASSESSMENT"
"/assurance (AssuranceDashboardPage)","Evidence snapshot data is unavailable","Rose-bordered error panel","KEEP","Unchanged","This is a genuine data-unavailable error state and correctly qualifies for error treatment under the reserved-red policy.","No","No","public/data/assurance-stats.json fetch failure path"
"/status (StatusPage) — SEO description","...NO-GO for external release...","Meta description","REWRITE","Per-capability status, environment scope, and supporting evidence for FEUS.ai.","Search and social previews were surfacing a release-gate verdict as the site's summary.","No","No","POSTURE.statusStripNote"
"/faq (FaqPage) — intro","answered against the independently assessed posture of revision 3c401504…","Body paragraph","REWRITE","These are the questions evaluators ask most. Capability availability may vary by deployment, environment, integration, and customer configuration. Exact-revision answers below are assessed against revision 3c401504…","Revision binding retained but reframed as applying to the exact-revision answers rather than to the platform.","No","No","POSTURE.availabilityQualifier; RELEASE_ASSESSMENT.certifiedRevision"
"Footer (all pages)","FEUS.ai: Operationally validated core. Capability-specific limits apply. Current status","Muted bottom-bar text","REWRITE","FEUS.ai: Operationally validated, governance-first AI Data Operations platform. Capability availability may vary by deployment, environment, integration, and customer configuration. Capability status","Bound to the source of truth instead of hand-edited text; 'limits apply' replaced with an accurate scope qualifier.","No","No","POSTURE.shortStatement + POSTURE.availabilityQualifier"
"index.html — og:description / twitter:description","FEUS.ai is a governed AI Data Operations platform with an operationally validated core and capability-specific preview boundaries for new agents and integrations.","Social card metadata","REWRITE","FEUS.ai is an operationally validated, governance-first AI Data Operations platform: governed AI orchestration, database operations, assurance, and automation. Availability varies by capability.","Social cards led with boundaries. Now lead with capability and close with an honest qualifier. APPROVED_OG in the validator was updated in the same change so the gate stays authoritative.","No","No","scripts/validate-public-claims.mjs APPROVED_OG"
"README.md — platform status row","Operationally validated core. Capability-specific limits apply. The assessed vNext release remains NO-GO above LOCAL.","Repository table row","REWRITE","Operationally validated, governance-first AI Data Operations platform. Availability varies by capability, environment, integration, and customer configuration. See /status.","Contributor-facing documentation now points to the RELEASE_ASSESSMENT / Trust Center boundary rather than restating the decision.","No","Yes","README exact-release-evidence row now names RELEASE_ASSESSMENT"
"Privacy Policy / Terms of Service notice (Footer)","Privacy Policy and Terms of Service are in legal review and will be published here.","Muted footer text","KEEP","Unchanged","Legitimate legal disclosure. Not release-gate language and not eligible for removal.","No","No","Footer.jsx"
"/demo — DEMO_DISCLAIMER","Demonstration content disclosure","Inline panel","KEEP","Unchanged","Legitimate and specific disclosure protecting against misinterpretation of demo content.","No","No","DEMO_DISCLAIMER"
"/trust — AUTHORIZED_USE","Authorized-use and qualification statement","Inline panel","KEEP","Unchanged","Legitimate security and authorization disclosure.","No","No","AUTHORIZED_USE"
"/architecture, /integrations — MODEL_PROVIDER_STATEMENT","Model-provider invocation is disabled in the assessed path","Inline statement","KEEP","Unchanged","Accurate capability-specific technical disclosure on a technical surface.","Yes","No","MODEL_PROVIDER_STATEMENT"
